geneName	probeID	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-	-	MB-0362	MB-0346	MB-0386	MB-0574	MB-0185	MB-0503	MB-0641	MB-0201	MB-0218	MB-0316	MB-0189	MB-0891	MB-0658	MB-0899	MB-0605	MB-0258	MB-0506	MB-0420	MB-0223	MB-0445	MB-0199	MB-0517	MB-0155	MB-0428	MB-0117	MB-0906	MB-0249	MB-0660	MB-0497	MB-0434	MB-0143	MB-0513	MB-0541	MB-0653	MB-0455	MB-1071	MB-1022	MB-1131	MB-0719	MB-1063	MB-0803	MB-1023	MB-0718	MB-0818	MB-0721	MB-0938	MB-0894	MB-0741	MB-0722	MB-1107	MB-0821	MB-0724	MB-1034	MB-0892	MB-0726	MB-0929	MB-1050	MB-0905	MB-0932	MB-1057	MB-1011	MB-0825	MB-0683	MB-0746	MB-0933	MB-0973	MB-0964	MB-1085	MB-0745	MB-0707	MB-0847	MB-0857	MB-1021	MB-0939	MB-1134	MB-0758	MB-0747	MB-1012	MB-0727	MB-0862	MB-1028	MB-0952	MB-0675	MB-1086	MB-0778	MB-0937	MB-0779	MB-0704	MB-0782	MB-1009	MB-1130	MB-1055	MB-1096	MB-0748	MB-1104	MB-0956	MB-0961	MB-0848	MB-1127	MB-0776	MB-0833	MB-1014	MB-1036	MB-1116	MB-1044
FASTKD1	ILMN_1751362	6.318164993	6.052554539	6.15813433	6.608966673	6.631571981	6.477280198	6.031061294	6.311648931	6.358866584	6.456011078	6.871260864	6.523254806	6.924236674	6.457533547	6.425325331	6.737596692	6.247985531	6.90954544	6.6271273	6.418712449	6.675382683	6.281220979	6.282053713	6.286806404	6.638876072	7.194996079	6.188506695	6.226703374	6.639119191	6.166337935	6.704784839	6.722103339	6.556066415	7.006253858	6.593941018	6.172551074	6.039576137	6.398071485	6.667888986	6.17241051	5.685575987	6.480594451	6.343450146	6.565036425	6.117003876	6.300719348	6.614055915	6.070788278	6.22362759	6.420309395	6.111448267	6.555273006	6.588811361	6.204915151	6.223576645	6.186707567	6.179505836	6.354858687	6.566178448	6.237122952	6.248464211	6.495144873	5.545375156	6.239718305	6.852036706	6.522057401	6.43000978	5.873259759	6.300176816	6.284999005	6.312009176	6.19677767	6.286026668	6.393308018	6.318895055	5.783106817	5.945571983	6.103693402	6.008766605	6.234088331	6.036737593	6.61578734	6.309047733	6.308679919	6.183943102	6.057183559	6.530147099	6.074674099	6.32877538	6.20505871	6.355912822	6.221374526	6.190548578	6.737167504	6.36740595	6.675021325	6.137478972	6.192497034	5.968299859	6.418733262	6.351530895	6.535105684	6.387245688	6.227157411	6.393464624
P2RY5	ILMN_1786429	8.093771642	7.807586406	8.963083922	8.697664204	7.904006091	8.55397599	9.155751648	8.182693662	7.945489154	7.807948685	8.671728835	8.692453634	8.14210504	8.442053403	8.950003993	8.809301309	7.362173428	8.3772445	7.899993992	7.788022755	8.342448086	8.188362204	9.164910148	8.533830781	8.640035689	8.095727525	8.031919868	8.040864195	8.517587173	8.249855835	8.095748109	8.174081295	7.916793265	7.313257866	8.251991547	9.100402671	9.411230299	9.15688544	8.808669116	8.08147275	8.387462286	8.533772334	8.557880276	8.952085524	8.741043181	7.920925388	8.45802637	8.906595438	8.952236132	8.420802874	9.08502713	9.015173216	9.262209284	8.72607083	9.070086441	8.686080565	8.649979404	8.620980993	8.255967853	8.856616565	9.610540994	8.359751355	8.046807398	8.204028991	9.258834476	8.426691549	8.765266202	9.130712776	8.597911435	9.363805237	8.955022575	8.911098092	8.411115299	8.377911376	8.726199834	8.65340719	9.451771719	8.899465665	9.028451281	8.347813521	8.888679411	9.047172927	8.715094312	9.087201563	8.51436369	8.128233394	8.552229109	7.8359489	8.887481846	8.361595065	8.976820767	8.740418064	8.826027291	8.605986748	9.02567452	9.13054525	8.964136979	8.86892266	9.053242639	8.538279187	8.937010037	8.801630277	8.745140649	8.64698526	8.441617521
FRMPD2	ILMN_1658081,ILMN_1660879,ILMN_2265985,ILMN_1710203,ILMN_2356273,ILMN_1661282	5.384394351	5.288714502	5.392502739	5.45723688	5.370958113	5.248397229	5.354958346	5.316742326	5.421312021	5.355554618	5.371326708	5.386235577	5.377364064	5.329612858	5.268990267	5.298076402	5.361888143	5.370969906	5.342200578	5.413726947	5.335810517	5.29568504	5.389021379	5.387594247	5.304485027	5.466610183	5.333720864	5.425240944	5.437062163	5.361078618	5.356130201	5.343245675	5.376053079	5.425096638	5.404095364	5.405974022	5.386936639	5.339770291	5.360797175	5.427593569	5.45120148	5.410032696	5.365325685	5.396181901	5.415775994	5.45161441	5.379403725	5.322827922	5.453706378	5.450952385	5.428728671	5.473579142	5.35789831	5.381914568	5.31591736	5.317484155	5.250672074	5.459627944	5.45416236	5.305588442	5.411019228	5.361954867	5.450150457	5.446773339	5.412688009	5.362050354	5.375754131	5.328472141	5.377578998	5.296683671	5.322358075	5.413954358	5.386495298	5.316833703	5.332193581	5.421071817	5.280064433	5.365672822	5.253130591	5.287735468	5.385566854	5.475659454	5.444159916	5.437859331	5.372372145	5.332509832	5.387037939	5.394487158	5.389733138	5.446520355	5.39301886	5.343875422	5.35837567	5.336694674	5.42670228	5.368324631	5.387781397	5.380588333	5.449201799	5.421930326	5.335539163	5.353843371	5.261901945	5.418507395	5.44240734
CDK5	ILMN_1781987	7.487584874	7.546902039	7.618589603	7.357764242	6.803331245	7.042470105	6.983304095	7.167117372	8.072640994	7.495360917	7.171418994	7.174940494	7.076599539	7.374439589	6.332883595	7.230403647	7.614741163	6.56147321	7.391656441	7.531398747	7.577380069	7.647865879	6.470596829	6.853022269	6.83863571	7.204264764	7.115985437	6.642914363	7.531357504	7.387004562	7.124151316	7.595056318	7.524705589	7.455327877	7.111697001	6.040306047	5.996194572	6.066080225	6.201369075	6.394403789	6.066279234	6.378952054	5.428627922	6.3906681	5.782675417	7.099543623	5.960446063	6.394193469	6.272370952	6.14365983	5.584385224	5.915609312	5.888391557	6.090769491	6.383773758	6.340382522	6.321653677	6.08424698	6.9924927	6.412402967	5.892366837	5.945335376	6.264485846	6.508994375	6.304881023	5.75501772	6.313828328	6.113751902	6.203838298	6.424346006	5.869539383	5.954234586	5.906271869	5.934984639	5.888950028	5.44602219	5.979203904	5.92213955	5.690008014	6.232643304	6.476482407	5.768371874	6.121432596	6.351105053	6.208829378	6.129053835	6.272892579	6.786999754	6.108755304	6.038456243	6.458922507	5.812242641	6.124591579	6.224408666	6.377191064	6.00648334	5.770937323	6.227183743	6.058524197	5.84589139	5.96134844	6.2006209	5.788463391	6.164351346	6.426865158
KCNH5	ILMN_1700199,ILMN_1729963	5.345412129	5.301696099	5.215767123	5.263722893	5.183690934	5.394927831	5.242462175	5.40472556	5.249849758	5.38045882	5.385930956	5.441038414	5.29507258	5.306124629	5.374311191	5.244695395	5.339264986	5.290136942	5.34472243	5.276264806	5.406213585	5.345636698	5.271100378	5.361550701	5.359258079	5.24828721	5.410586717	5.30500137	5.197546967	5.477919986	5.212091935	5.513403322	5.394824726	5.371496953	5.335088185	5.362838051	5.23144016	5.338977241	5.302458617	5.21939141	5.300606104	5.284606535	5.239733786	5.339147716	5.550853574	5.36466598	5.311223158	5.289209876	5.15230171	5.318169758	5.237322156	5.332296675	5.227607987	5.278482405	5.539332168	5.459865408	5.495007752	5.359115101	5.372687301	5.367754317	5.38386998	5.536952932	5.49532765	5.20051853	5.283386466	5.441946754	5.335152422	5.268533888	5.313945814	5.492696811	5.332643059	5.481805439	5.367088166	5.267222529	5.452384306	5.289555556	5.431355868	5.40244186	5.260536658	5.230805007	5.34155966	5.461675583	5.548680694	5.334196298	5.369123821	5.280068093	5.200920032	5.344468591	5.325589338	5.230508459	5.195874232	5.305697781	5.478354038	5.248933674	5.498232754	5.27911252	5.458269305	5.424015429	5.349914665	5.491814157	5.347786575	5.229283371	5.258694619	5.28436492	5.421730937
PROKR1	ILMN_1704751	5.245665921	5.111466516	5.225034493	5.23255569	5.285235175	5.436776711	5.021058923	5.161405136	5.415955824	5.084314392	5.189535151	5.284752467	5.104702299	5.434072261	5.39694022	5.340606171	5.539688236	5.35916399	5.116378392	5.359279112	5.41453242	5.288689763	5.082599854	5.269208243	5.440897357	5.285364448	5.339668628	5.160678804	4.976032861	5.4412977	5.297327906	5.192126808	5.137613395	5.473946966	5.126621601	5.344638769	5.306932019	5.45293686	5.278960427	5.460022139	5.304167563	5.422083786	5.267384258	4.986492536	5.28662875	5.49468093	5.512038355	5.39076936	5.448427128	5.468152191	5.253375895	5.45040342	5.323110426	5.260191756	5.27387313	5.309239051	5.383734376	5.293407426	5.406282689	5.240418701	5.42559009	5.440267731	5.948715621	5.037248489	5.232644403	5.128258943	5.335816382	5.250417186	5.455678512	5.503876779	5.377401297	5.455292471	5.135553401	5.253925175	5.420079497	5.133520145	5.386255781	5.217203812	5.3392183	5.472146908	5.330025197	5.266987598	5.435621977	5.43789302	5.284501411	5.369403608	5.094120613	5.199833176	5.300545697	5.413891492	5.277226905	5.230335654	5.187142209	5.21511231	5.370807595	5.32388072	5.35980718	5.334880134	5.346374608	5.277157888	5.345873737	5.356410852	5.480095157	5.645013688	5.395434211
OCA2	ILMN_1746116	5.257440247	5.084118061	5.21744359	5.500603181	5.369973301	5.385689027	5.33499783	5.318509904	5.269001239	5.31730043	5.267757039	5.309287066	5.381956672	5.658521334	5.344883277	5.237708791	5.132634187	5.314701364	5.276339954	5.27361757	5.594256176	5.494476018	5.393277475	5.53350601	5.456911158	5.273605274	5.526030003	5.115862033	5.320150985	5.165717491	5.14827749	5.298709182	5.278078284	5.071878896	5.311817525	5.082628339	5.273626626	5.422802074	5.455001547	5.060616116	5.190248485	5.495917056	5.332038048	5.539019127	5.430349521	5.23370473	5.710796483	5.636112346	5.254827179	5.299813912	5.163978307	5.275382647	5.292500507	5.42930482	5.416175546	5.017511059	5.382574956	5.204908532	5.385303168	5.324152528	4.978379106	5.483261199	5.127933834	5.285459023	5.348067459	5.3419155	5.338854471	5.374564584	5.191743597	5.13868779	5.354473247	5.298284392	5.462035717	5.449139548	5.227038335	5.32020247	5.445746439	5.332014764	5.647880695	5.383111715	5.407525276	5.417007551	5.198747388	5.352930896	5.380583536	5.476677642	5.268820299	5.389863376	5.339394057	5.340085339	5.351928431	5.510985308	5.281702033	5.384128703	5.323334235	5.234928098	5.573330959	5.0978409	5.302345884	5.086347364	5.339194575	5.476680913	5.278696698	5.458478831	5.524332418
EGR1	ILMN_1762899	10.58051152	8.252424919	10.28110978	9.602147215	10.11411143	10.91895327	10.51103655	10.56998585	10.59778147	9.044952361	10.8944466	10.90983394	9.984185403	10.9372183	10.95197486	9.285903996	7.520206568	10.12157067	9.940702596	9.56117482	10.43671771	9.761507711	11.57353004	9.880808094	10.30490589	8.771239603	9.703791756	9.067626142	10.27955155	8.764214474	8.45416934	9.482555038	9.287226471	8.525284856	9.736812131	12.05001404	10.69761626	11.23462801	12.70127871	11.38120431	11.74781847	11.42680339	12.11909434	12.03387072	11.97024837	10.99184434	11.9320659	12.20441059	11.7534285	12.03400801	12.04528436	11.5526661	11.69338641	11.07318215	11.01773645	12.04635392	11.94198054	11.88202548	11.28543774	11.48362474	11.62518087	12.69117082	12.88137129	12.35892473	11.61600521	12.0299413	12.08020626	11.3347159	12.79217398	11.12131057	11.41802716	12.20441059	12.17345596	11.35506125	12.12007192	12.45928129	10.85984538	11.32816477	11.90546775	11.57872024	12.54570265	13.08331406	11.34555627	11.08400709	12.34605884	12.31586662	12.20441059	11.87610248	11.27880626	11.40908458	11.47238692	12.18928982	11.99941947	12.12007192	12.02814173	12.05001404	12.12007192	11.40908458	11.29975293	11.98196957	12.06214519	11.64405709	12.51205554	12.57646108	11.71346036
HES4	ILMN_1653466	10.39754915	9.886753647	9.612133005	8.472141184	9.973616626	10.16951131	9.719569764	9.702554719	10.18351223	8.296943049	9.474390821	9.884072764	11.08106498	10.06900769	9.390270959	9.850092892	10.06210463	9.982448466	10.39404402	10.76906315	10.09853843	10.13103224	10.12587668	8.774396731	9.982337614	10.00305142	10.72324902	10.10879301	9.628860935	9.898036261	8.238047262	9.901682236	9.395051717	10.25115448	8.985523828	8.542849983	9.073146464	9.006751276	9.50779418	9.570926401	10.20197121	9.874491705	9.15200527	10.14195833	8.867077957	10.37866773	10.34501911	9.789155029	9.553388797	10.13685005	8.899768708	9.617592665	10.64723755	10.35456721	8.912536237	9.911318516	9.706603179	10.47762872	9.891845021	9.157998915	10.08171215	10.08218513	11.03819827	9.717934278	10.62753236	10.1991416	10.09729517	8.844185305	10.68244122	9.350307698	9.614848849	9.816007845	9.975525872	9.447659311	9.398551481	10.03386391	8.798308464	9.252258154	9.575513891	8.980808933	10.25941514	9.907216768	9.435765682	8.771421839	10.44954306	10.32949921	10.32409872	10.29245947	9.499971837	10.72625214	9.052488745	10.12802031	9.178463992	9.574826589	10.38228386	9.008016907	9.860519192	9.20166781	9.406112439	9.989260046	10.04401384	9.980797571	10.05173964	9.935434905	10.51453596
MYCT1	ILMN_1750225,ILMN_2160906	5.775414776	5.676757854	5.903052325	5.713340355	5.533603408	5.703603733	6.153758777	5.624715107	5.601907345	5.526483838	6.040094111	6.135011479	5.792846714	5.549445172	5.741957587	5.556786325	5.761677696	5.713562454	5.410581975	5.680768319	5.526373359	5.615977776	5.859201123	5.56675261	5.679094894	5.521963613	5.615980333	5.523961518	5.917443306	5.660650138	5.529566641	5.725123922	5.716971477	5.502461746	5.749569427	6.059930727	6.135951995	6.677141705	5.890473935	6.02283776	5.988693784	5.809038917	6.453513646	5.63907383	6.320656937	5.69309227	6.081050983	5.910740947	6.028789994	6.166444372	6.372986175	6.144230323	5.734072167	5.986129377	6.01940359	6.006077974	5.933616586	6.014854641	5.816877651	6.24148617	5.777969268	6.02878628	5.458238027	5.787713563	5.75160131	5.764876621	5.676805857	6.366967834	5.731495268	6.586335147	6.150428182	5.944548645	5.763160628	6.073904523	6.20207607	5.736356346	6.411770503	6.248076223	6.270045777	6.124691233	6.221569624	5.487789281	6.082410174	6.656338286	5.937218507	5.668468837	5.58375143	5.745782186	6.163210829	5.762058278	6.288441526	5.815017744	6.213214539	5.848863634	5.583188849	6.26002341	6.316632509	6.106596489	6.628970956	5.762698001	5.988928157	6.02856556	6.234183158	5.868585233	5.567824191
